nId	szQuestion	nAnswerId	szA1	szA2	szA3	szA4
48	东汉的第一个皇帝是？	1	刘秀	刘邦	刘彻	刘玄
49	世界第一长河是？	3	伏尔加河	长江	尼罗河	亚马逊河
50	“海上升明月,天涯共此时”是谁的诗句？	4	王昌龄	岑参	李贺	张九龄
51	我国少数民族中人数最多的是？	2	藏族	壮族	汉族	回族
52	“开元之治”发生在哪位皇帝在位时间？	1	李隆基	李治	李世民	李渊
53	西晋的开国皇帝是谁？	3	司马懿	司马昭	司马炎	司马师
54	“木犹如此，人何以堪”出自谁人之口？	4	檀道济	冉闵	谢玄	桓温
55	下列谁不属于“汉初三杰”？	2	张良	陈平	韩信	萧何
56	下列哪位将军因军功被封为“冠军侯”？	1	霍去病	辛弃疾	卫青	关羽
57	围棋棋盘有几个交叉点？	3	324	400	361	225
58	战国四公子中属于齐国的是？	4	平原君	信陵君	春申君	孟尝君
59	战国四公子中属于楚国的是？	3	平原君	信陵君	春申君	孟尝君
60	战国四公子中属于赵国的是？	1	平原君	信陵君	春申君	孟尝君
61	战国四公子中属于魏国的是？	2	平原君	信陵君	春申君	孟尝君
62	“毛遂”是下列谁的门客？	1	平原君	信陵君	春申君	孟尝君
63	王莽篡汉之后，国号定为？	4	周	后汉	王	新
64	灭亡西晋的是哪个少数名族的军队？	3	鲜卑	羯	匈奴	羌
65	南北朝时期南方的朝代更替顺序为？	2	齐梁宋陈	宋齐梁陈	宋梁齐陈	宋陈梁齐
66	隋文帝杨坚的长子叫什么名字？	1	杨勇	杨广	杨戬	杨大眼
67	清朝最后一位皇帝是谁？	3	玄烨	福临	溥仪	努尔哈赤
68	被尊称为医圣的是下列哪一位？	4	华佗	孙思邈	扁鹊	张仲景
69	“成也萧何，败也萧何”说的是谁的经历？	2	樊哙	韩信	英布	周勃
70	战国时期，各国纷纷变法，其中吴起变法发生在哪国？	1	楚国	秦国	齐国	赵国
71	战国时期，各国纷纷变法，其中李悝变法发生在哪国？	2	楚国	魏国	齐国	赵国
72	战国时期，各国纷纷变法，其中申不害变法发生在哪国？	4	楚国	魏国	齐国	韩国
73	豆腐相传是谁发明的？	3	刘义庆	刘义隆	刘安	刘裕
74	中华民国首任内阁总理是谁？	1	唐绍仪	黎元洪	袁世凯	孙中山
75	“三箭定天山”描写的是唐朝哪位将军？	4	哥舒翰	封常清	尉迟恭	薛仁贵
76	林则徐虎门销烟发生在哪个皇帝执政期间？	2	咸丰	道光	宣统	乾隆
77	珠穆朗玛峰位于？	3	中印边境	中缅边境	中尼边境	中巴边境
78	平均海拔最高的大洲是？	1	南极洲	非洲	亚洲	北美洲
79	月球以每年几厘米的速度远离地球？	4	9	7	5	3
80	“洛阳纸贵”是因为什么作品在当时引起轰动？	3	阿房宫赋	赤壁赋	三都赋	洛神赋
81	明宫三大案不包括下面哪个？	2	梃击案	青玉案	红丸案	移宫案
82	韩林儿在谁的拥立下带领红巾军与元军抗衡？	1	刘福通	朱元璋	张士诚	陈友谅
83	谁享有“三造共和”的美誉？	3	蔡锷	王士珍	段祺瑞	冯国璋
84	马谡街亭一战败给哪位魏国大将？	4	司马懿	李典	乐进	张郃
85	“戊戌变法”持续了多少天?	2	102	103	104	100
86	“师夷长技以制夷”是谁的主张？	1	魏源	李鸿章	张之洞	严复
87	名曲“十面埋伏”主要有哪种乐器演奏？	3	胡笳	古筝	琵琶	古琴
88	明朝唯一三公兼三孤的官员是谁？	4	张居正	高拱	于谦	陆炳
89	北宋最后一任皇帝是谁？	2	赵佶	赵桓	赵构	赵匡胤
90	“桃源何处寻渔父，博浪翻教刺子房”是关于民国哪位名人的挽联？	1	宋教仁	孙中山	唐绍仪	冯国璋
91	唐太宗派谁主编《隋书》？	3	房玄龄	杜如晦	魏征	长孙无忌
92	凌烟阁二十四功臣中谁人居首位？	4	尉迟敬德	李靖	徐懋功	长孙无忌
93	隋文帝杨坚本是哪个国家的皇亲和军事统帅？	1	北周	北齐	北魏	西魏
94	凌烟阁二十四功臣中谁人居末席？	2	尉迟敬德	秦琼	程咬金	长孙无忌
95	汉昭帝和汉宣帝恢复了文帝和景帝的政策，史称什么？	3	文景之治	再造文景	昭宣中兴	政启文景
96	纪晓岚的谥号是什么？	4	文忠	文正	缪丑	文达
97	霍去病去世时几岁？	2	23	24	25	26
98	古名画《洛神赋图》作者是谁？	1	顾恺之	吴道子	郑板桥	曹植
99	清代哪名将领抬着棺材入新疆收复伊犁？	3	曾国藩	李鸿章	左宗棠	荣禄
100	公元1898年，光绪冲破了重重阻力，颁布了什么，宣布变法维新？	4	《维新强国诏》	《变法通要》	《衣带诏》	《明定国是诏》
101	历史上西晋的“八王之乱”持续多久？	2	15	16	17	18
102	五代时期哪位帝王因宠信伶人而失去江山？	1	李存勖	李从珂	石敬瑭	朱温
103	曾国藩是清末的一代名将，他率领的军队叫什么？	3	淮军	辫子军	湘军	长毛军
104	蒙古第四任大汗蒙哥是谁的儿子？	4	术赤	窝阔台	察合台	拖雷
105	北宋人司马光是一名著名的作家，那么他所著的《资治通鉴》是一部以什么为形式的历史书呢？	2	纪传体	编年体	断代体	国别体
106	“春风得意马蹄疾,一日看尽长安花”，这是谁在科举高中后兴奋的诗句？	3	范进	李白	孟郊	白居易
107	古代四大美女在唐朝的是？	1	杨玉环	貂蝉	西施	王昭君
108	唐代文宗曾向天下发布一个罕见的天下三绝诏书，请问以下哪个不是天下三绝？	4	张旭的草书	斐旻的剑舞	李白的诗歌	张萱的画卷
109	李贺被誉为什么？	3	诗仙	诗圣	诗鬼	诗神
110	唐太宗临终前被招为顾命大臣，又是初唐四家之一的是？	2	薛稷	褚遂良	欧阳询	虞世南
111	在唐代以下哪个是真正的寺庙：	1	白马寺	鸿胪寺	大理寺	大雁寺
112	汗血宝马起源的朝代？	1	西汉	东汉	唐朝	宋朝
113	尼罗河由三条河汇流而成，以下哪条不是其中之一？	4	青尼罗河	白尼罗河	卡盖拉河	尼日尔河
114	以下哪一个不是倚天屠龙记中三大神僧之一？	2	渡难	渡河	渡劫	渡厄
115	明代话本小说“三言”不包括什么？	4	醒世恒言	喻世明言	警世通言	劝世良言
116	意大利诗人阿利盖利、但丁的长诗《神曲》分为三部分，以下哪个不是其中之一？	3	天堂	地狱	深渊	炼狱
117	雾月政变发生在哪一年？	2	1798	1799	1800	1801
118	托尔斯泰的自传体小说三部曲，以下哪个不是其中之一？	4	幼年	少年	青年	暮年
119	围棋起源于哪个国家？	1	中国	日本	韩国	印度
120	以下哪一个不是世界三大短篇小说大师？	4	莫泊桑	契诃夫	欧亨利	卡夫卡
121	第二次世界大战爆发在哪一年?	2	1938	1939	1940	1941
122	有史以来第一个活着看到自己的作品被收藏进卢浮宫的世界著名画家是谁?	3	梵高	达芬奇	毕加索	卢梭
123	“圆明三院”不包括以下哪一个？	4	圆明园	长春园	绮春园	秀春园
124	王大婶有三个儿子，这三个儿子又分别有一个姐姐和一个妹妹，问王大婶一共有几个孩子？	3	3	4	5	6
125	赵武灵王所采用的军事和服饰改革历史上成为什么？	1	胡服骑射	铁骑远征	师夷长技	东施效颦
126	《史记》定战国时代开始于公元前多少年？	3	474	475	476	477
127	有十支蜡烛，你吹灭了三支，还有几支？	4	7	8	9	10
128	竹林七贤之一阮籍官至?	2	骑兵校尉	步兵校尉	百夫长	长史
129	赤壁之战发生在公元多少年?	3	206	207	208	209
130	唐朝初年玄奘一共取回了多少经书?	1	657	658	659	660
131	陶渊明号？	2	赏菊先生	五柳先生	六柳先生	五斗先生
132	以下哪一个不是初唐风尘三侠？	4	李靖	红拂女	虬髯客	寇仲
133	以下哪一个不是黄巾起义的领导人之一？	3	张梁	张角	张照	张宝
134	中国古代科举制度的起源于何时？	2	秦朝	隋朝	唐朝	宋朝
135	郑和下了几次西洋？	2	6	7	8	9
136	倚天屠龙记中，成昆在少林中的法号是什么？	2	圆昆	圆真	圆业	圆慈
137	天龙八部中，钟灵的宠物叫什么？	3	飞雪狐	金爪雕	闪电貂	汗血马
138	以下哪一个不是三师之一？	2	太师	太尚	太保	太傅
139	秦始皇下令李斯进行文字整理工作，创造出来的新文字作为官方规范文字，叫什么?	2	大篆	小篆	隶书	楷书
140	碧螺春属于什么茶?	2	红茶	绿茶	乌龙茶	黑茶
141	七夕起源于什么时候?	1	汉	唐	明	宋
142	以下哪个不是华山派的武学？	1	沧浪剑法	紫霞神功	太岳三青峰	希夷剑法
143	嵩山少林寺位于“五岳”中的哪一岳？	1	中岳	南岳	北岳	西岳
144	天龙八部中，木婉清的坐骑叫什么？	3	踏雪	的卢	黑玫瑰	黑美人
145	以下哪个不是苏门三杰之一？	4	苏洵	苏轼	苏辙	苏观
146	烹调东坡肉最好选用什么猪肉?	1	五花肉	猪蹄	猪颈肉	猪腱肉
147	以下哪个不是四大名捕之一？	1	铁血	追命	无情	铁手
148	世界上海拔最高的长河叫什么?	2	亚马逊河	雅鲁藏布江	尼罗河	刚果河
149	五台山位于我国哪个省?	3	山东	河北	山西	河南
150	以下哪一种不是段誉所会的武学？	4	凌波微步	北冥神功	六脉神剑	小无相功
151	以下哪一种不是虚竹所会的武学？	3	天山六阳掌	天山折梅手	火焰刀	生死符
152	以下哪一个不是杜甫的三别？	2	新婚别	幼子别	垂老别	无家别
153	以下哪个人不是射雕英雄传中天下五绝之一？	4	洪七公	欧阳锋	一灯大师	独孤求败
154	神雕侠侣中，以下哪一人没有从觉远大师口中习得九阳神功？	3	郭襄	张三丰	杨过	无色禅师
155	墨家的创始人是谁？	1	墨翟	墨麟	墨羽	墨天
156	以下哪个不是风云中雄霸的绝学？	2	天霜拳	蚀日剑	排云掌	风神腿
157	说出“匈奴未灭，何以为家”的是汉朝将军哪一位？	3	李广	卫青	霍去病 	马援
158	成语“偃旗息鼓”中的“偃”是指什么	3	摘下	收起	放倒	转移
159	以下哪一个不是黄药师的绝学？	3	落英神剑掌	弹指神通	空明拳	兰花拂穴手
160	以下哪个不是我国三大名酒之一？	1	五粮液	茅台	汾酒	泸州老窖
161	十二生肖中排第五的是什么动物？	2	虎	龙	兔	猪
162	世界上流经国家最多的河流是什么?	1	多瑙河	亚马孙河	长江	尼罗河
163	史记是中国第一部什么体通史？	2	编年体	纪传体	国别体	断代体
164	七大奇迹之一的泰姬陵位于哪个国家?	3	泰国	越南	印度	印度尼西亚
165	以下哪一个不是长白山的东北“三宝”？	4	鹿茸	人参	貂皮	大米
166	名句“孔雀东南飞，五里一徘徊”出自哪里	3	诗经	元曲	乐府	宋词
167	以下哪个作家不属于唐宋八大家的是	4	韩愈	欧阳修	曾巩	柳永
168	以下哪一个不是杜甫的三吏？	4	石壕吏	新安吏	潼关吏	长安吏
169	以下哪个不是中国三大战役之一？	4	淮海	辽沈	平津	百团
170	编钟最早什么时候出现？	3	商	东周	西周	夏
171	“昭君出塞”的历史事件中，王昭君首先嫁给了谁？	1	呼韩邪单于	冒顿单于	松赞干布	朱邪赤心
172	“作官当作执金吾,娶妻当娶阴丽华。”这是谁未发迹时的愿望？	2	杨坚	刘秀	朱元璋	李渊
173	五代十国时期后周世宗柴荣的前任皇帝后周太祖姓什么？	3	柴	赵	郭	刘
174	五代十国中五代的更迭顺序是什么	1	梁晋唐汉周	梁唐汉晋周	梁汉晋唐周	梁唐晋周汉
175	张骞出使西域，他最初的目的是代表汉帝国去联络哪个国家？	4	龟兹	大宛	楼兰	大月氏
176	东吴最后一位皇帝是谁？	2	孙武	孙皓	孙休	孙权
177	哪位刺客曾击衣报主，然后自杀？	3	专诸	要离	豫让	荆轲
178	孙策死时多大？	1	26	27	28	29
179	请问周公叫什么名字？	3	姬发	姬昌	姬旦	姬宜臼
180	公元936年，石敬瑭被哪个契丹皇帝册封为皇帝，建立后晋？	2	耶律洪基	耶律德光	耶律述律	耶律阿保机
181	“名师大将莫自牢，千兵万马避白袍”是称赞的哪位名将？	4	关羽	张飞	赵云	陈庆之
182	“八王之乱”幸存的王是谁？	1	司马越	司马亮	司马伦	司马颖
183	唐玄宗李隆基执政初期，全国遇到了前所未有的盛世，史称“开元之治”，请问“开元”这个年号持续了多少年？	3	26	27	28	29
184	“才高八斗”这话出自谁之口？	2	谢玄	谢灵运	曹植	曹昂
185	相传我国古代能作“掌上舞”的美女是？	4	杨玉环	西施	貂蝉	赵飞燕
186	笑傲江湖中日月神教总坛在哪里？	1	黑木崖	望海崖	断情崖	鹰愁崖
187	《战国策》一书的整理编订者是谁？	2	司马迁	刘向	司马光	班固
188	《长恨歌》中的“汉皇”指的是？	3	汉武帝	唐太宗	唐玄宗	汉文帝
189	《滕王阁序》是一篇流传千古的名篇，滕王阁位于“豫章故郡，洪都新府”，在今天的哪个省	4	湖南	湖北	江苏	江西
190	“狡兔三窟”的故事与下面哪一个人有关？	3	平原君	信陵君	孟尝君	武安君
191	李清照“生当做人杰，死亦为鬼雄”是赞美哪一个人物？	2	屈原	项羽	岳飞	文天祥
192	近人王国维在《人间词话》中，提出过著名的“三境界说”，其中第三种境界引用的是谁的著名词句	1	辛弃疾	李清照	周邦彦	陆游
193	下列哪个成语和“道听途说”一词意思更接近？	2	空穴来风	三人成虎	杞人忧天	避实击虚
194	“五德终始说”中，秦对应？	4	金德	火德	木德	水德
195	科举考试中“连中三元”中不包括那个？	3	会元	状元	美元	解元
196	毛主席诗词“看万山红遍，层林尽染”一句写于哪个地方	1	长沙	武汉	广州	上海
197	成语“草木皆兵”反映的历史事件是？	2	官渡之战	淝水之战	赤壁之战	长平之战
198	发表铁幕演说的是？	4	罗斯福	斯大林	戴高乐	丘吉尔
199	1947年，为了帮助欧洲经济复兴，与前苏联抗衡，美国提出了哪项计划？	3	艾森豪威尔计划	罗斯福计划	马歇尔计划	杜鲁门计划
200	《齐民要术》是以下谁的作品？	1	贾思勰	宋应星	徐光启	沈括
201	《射雕英雄传》程瑶迦的师父是谁？	2	王处一	孙不二	刘处玄	谭处端
202	史火龙学会了降龙十八掌中的几掌？	4	9	10	11	12
203	《天龙八部》中六大派围攻光明顶，下列哪一派不在其中？	3	少林	武当	青城	华山
204	《笑傲江湖》中江南四友的老大叫什么名字？	1	黄钟公	黑白子	丹青生	秃笔翁
205	天山童姥临死前口中说“不是她！不是她！不是她！”中的“她”指的是谁？	2	李秋水的妹妹	李秋水	王语嫣	阮星竹
206	人们常说的无事不登三宝殿是哪三宝？	4	纸、砚、笔	书、剑、琴	金、银、玉	佛、法、僧
207	世界三大宗教哪个先产生的？	3	基督教	伊斯兰教	佛教	明教
208	张衡发明的地动仪上有几条龙？	1	8	4	10	12
209	王实甫在《西厢记》中写道：“淋漓襟袖啼红泪，比司马青衫更湿”，其中“司马青衫”指的是？	2	司马相如	白居易	蔺相如	崔莺莺
210	谢公屐的用途是？	4	跳舞	上朝	蹴鞠	登山
211	“退避三舍”是指军队退让了多远？	3	三里	三十里	九十里	三百里
212	《清明上河图》描写的是哪个朝代的？	1	北宋	南宋	东汉	西汉
213	范增在鸿门宴上做了什么？	2	舞剑	举珏	吟唱	骑马
214	“金屋藏娇”说的是哪位帝王？	4	汉文帝	汉景帝	汉宣帝	汉武帝
215	“萧规曹随”其中“曹”指的是？	3	曹植	曹操	曹参	曹无伤
216	“十面埋伏”指的是中国历史上那一次著名的战役？	1	垓下之战	彭城之战	淝水之战	巨鹿之战
217	“慷慨歌燕市，从容作楚囚，引刀成一快，不负少年头！”是谁的诗？	2	谭嗣同	汪精卫	徐锡麟	秋瑾
218	《祭侄文稿》被誉为“天下第二行书”，它的作者是谁？	4	黄庭坚	王羲之	怀素	颜真卿
219	唐代楷书大家中，有“颜筋柳骨”之说，其中“柳”指的是谁？	3	柳永	柳下惠	柳公权	柳三变
220	举世闻名的“瘦金体”是由宋朝哪位皇帝所创？	2	宋哲宗	宋徽宗	宋理宗	宋钦宗
221	古代地理中划分阴阳有一套理论，其中表述山川河流的“阴”是指	2	山南水北	山北水南	山南水南	山北水北
222	以下哪一个不是三清之一？	4	玉清	上清	太清	玄清
223	龙门石窟位于下列哪个省？	1	河南	甘肃	陕西	山东
224	下列哪个不是中国六大古都？	1	南昌	开封	西安	洛阳
225	中国刺绣是在布上“以针代笔，以线晕色”的艺术，被誉为“东方艺术明珠”，四大名绣不包括？	2	苏绣	顾绣	蜀绣	湘绣
226	编钟最早什么时候出现？	3	商	东周	西周	夏
227	以下哪一个不是曹操麾下的谋士？	2	贾诩	陈宫	荀彧	程昱
228	《红楼梦》的四大家族中没有下列哪个姓氏？	1	吴	贾	王	史
229	下面哪个绰号的主人是复姓？	4	两头蛇	出林龙	活闪婆	双鞭
230	水浒传中谁在沂岭杀四虎？	3	林冲	杨志	李逵	武松
231	第一次世界大战的导火线是什么？	2	来克星顿枪声	萨拉热窝事件	波士顿倾茶事件	铁幕演说
232	在古希腊古罗马神话中的诸神中，被称为“爱神”的是？	1	维纳斯	波塞冬	哈迪斯	宙斯
233	“飞利浦”是哪个国家的品牌?	4	美国	英国	德国	荷兰
234	下列历史事件中与关羽无关的是？	2	败走麦城	七擒七纵	大意失荆州	过五关斩六将
235	“弄璋”是指？	3	结婚	孩子满月	生了男孩	生了女孩
236	下列不属于意大利文艺复兴三杰的是？	1	哥白尼	拉斐尔	达芬奇	米开朗琪罗
237	中国第一大岛是？	1	台湾岛	崇明岛	海南岛	舟山岛
238	中国第二大岛是？	3	台湾岛	崇明岛	海南岛	舟山岛
239	中国第三大岛是？	2	台湾岛	崇明岛	海南岛	舟山岛
240	世界上最大的岛是？	4	台湾岛	冰岛	西西里岛	格陵兰岛
241	世界上牛最多的国家是？	4	阿根廷	中国	美国	印度
242	中国第一部词典是？	1	说文解字	尔雅	康熙字典	新华字典
243	杜牧有诗句“一骑红尘妃子笑”，其中的“妃子”是？	2	赵飞燕	杨玉环	武则天	慈禧
244	成语“凿壁偷光”是出自哪位古代人物的苦学故事？	3	孔子	祖逖	匡衡	车胤
245	古代科举考试最后在殿试中考取第二名被称为是？	3	状元	探花	榜眼	牛耳
246	中国古代“双手抱拳举过头顶，鞠躬”，这是什么拜礼？	4	再拜	顿首	稽首	长揖
247	“名落孙山”中的“孙山”是一个？	1	人名	地名	官名	酒名
248	我国最新的身份证号码一共几位？	2	17	18	19	20
249	“但使龙城飞将在，不教胡马度阴山”中龙城指谁？	3	李广利	李广	卫青	霍去病
250	《永乐大典》中“永乐”指的是朱棣的什么？	4	庙号	谥号	尊号	年号
251	“班禅额尔德尼”封号源于清朝哪一位皇帝的赐予？	2	顺治	康熙	雍正	乾隆
